id;hospital;endereco
145;HOSP DA AERONAUTICA DE SPHASP;OLAVO FONTOURA, 1400, SANTANA - SANTANA, SAO PAULO, SP
146;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;DEPUTADO EMILIO CARLOS, 3100 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
147;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;AV MIGUEL ACHIOLE DA FONSECA, 135 - JARDIM SAO PAULO, SAO PAULO, SP
148;HOSP MUN DR CARMINO CARICCHIO;AV CELSO GARCIA, 4815 - TATUAPE, SAO PAULO, SP
149;HOSP MUN TIDE SETUBAL;RUA DR JOSE GUILHERME EIRAS, 123 - SAO MIGUEL PAULISTA, SAO PAULO, SP
150;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;RUA ALVES MALDONADO, 128 - VILA NHOCUNE, SAO PAULO, SP
151;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;AVENIDA FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860 - JABAQUARA, SAO PAULO, SP
152;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;AV ELISIO TEIXEIRA LEITE, 6999 - PARADA DE TAIPAS, SAO PAULO, SP
153;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;ALAMEDA RODRIGO DE BRUM, 1989 - VILA PARANAGUA, SAO PAULO, SP
154;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;RUA ANTONIO LAZARO, 226 - JARDIM IVA, SAO PAULO, SP
155;HOSP MUN IGNACIO PROENCA DE GOUVEA;JUVENTUS, 562 - PARQUE DA MOOCA, SAO PAULO, SP
156;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;RUA SIQUEIRA BUENO, 1757 - AGUA RASA, SAO PAULO, SP
157;HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI;AV BRIGADEIRO LUIZ ANTONIO, 2651 - JARDIM PAULISTA, SAO PAULO, SP
158;HOSPITAL REGIONAL SUL SAO PAULO;RUA GENERAL ROBERTO ALVES DE CARVALHO FILHO, 270 - SANTO AMARO, SAO PAULO, SP
159;HOSPITAL VITAL BRAZIL SAO PAULO;AV VITAL BRAZIL, 1500 - BUTANTA, SAO PAULO, SP
160;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;RUA MANOEL FRANCA DOS SANTOS, 174 - JARDIM SAPOPEMBA, SAO PAULO, SP
161;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;AV MINISTRO PETRONIO PORTELA, 1642 - JARDIM IRACEMA, SAO PAULO, SP
162;HOSPITAL PSIQUIATRICO DE VILA MARIANA;RUA MAJOR MARAGLIANO, 241, 287 - VILA MARIANA, SAO PAULO, SP
163;HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;AV DEPUTADO EMILIO CARLOS, 3000 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
164;HOSP DO SERV PUB MUNICIPAL HSPM;CASTRO ALVES, 60 - LIBERDADE, SAO PAULO, SP
165;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;ESTRADA DE ITAPECERICA, 1661, VILA MARACANA - CAMPO LIMPO, SAO PAULO, SP
166;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;RUA DOM JOSE MAURICIO, 15 - CARANDIRU, SAO PAULO, SP
167;HOSP MUN VER JOSE STOROPOLLI;RUA FRANCISCO FANGANIELLO, 127 - PARQUE NOVO MUNDO, SAO PAULO, SP
168;CENTRO MEDICO PMESP;AVENIDA NOVA CANTAREIRA, 3659 - TREMEMBE, SAO PAULO, SP
169;HOSP MUN CARMEN PRUDENTE;AVENIDA DOS METALURGICOS, 1797 - CIDADE TIRADENTES, SAO PAULO, SP
170;HOSPITAL LOCAL DE SAPOPEMBA;RUA IAMACARU, 45 - PARQUE SANTA MADALEN, SAO PAULO, SP
171;INSTITUTO DE REABILITACAO LUCY MONTORO;RUA JANDIATUBA, 580 - VILA ANDRADE, SAO PAULO, SP
172;HOSP MUN M BOI MIRIM;ESTRADA DO MBOI MIRIM, 5203 - JARDIM ANGELA, SAO PAULO, SP
173;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;AV DR ARNALDO, 251 - CERQUEIRA CESAR, SAO PAULO, SP
174;HOSP MUN SOROCABANA;RUA FAUSTOLO, 1633 - VILA ROMANA, SAO PAULO, SP
175;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;AVENIDA SANTA CATARINA, 2785 - VILA MASCOTE, SAO PAULO, SP
176;HOSP MUN CAPELA DO SOCORRO;RUA CASSIO DE CAMPOS NOGUEIRA, 2031 - JARDIM DAS IMBUIAS, SAO PAULO, SP
177;HOSP MUN JOSANIAS CASTANHA BRAGA;RUA EUZEBIO COGHI, 841 - JARDIM ROSCHEL, SAO PAULO, SP
178;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;RUA ANTONIO CARLOS, 122 - CONSOLACAO, SAO PAULO, SP
179;HOSPITAL MUNICIPAL BRASILANDIA;MICHIHISA MURATA, 150 - JARDIM MARISTELA, SAO PAULO, SP
180;HOSPITAL MUNICIPAL GUARAPIRANGA;ESTRADA DA RIVIERA, 4742, ZONA SUL - RIVIERA PAULISTA, SAO PAULO, SP
181;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;DR ARNALDO, 165 - SUMARE, SAO PAULO, SP
182;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;AVENIDA IBIRAPUERA, 981 - IBIRAPUERA, SAO PAULO, SP
183;HOSPITAL MATERNIDADE INTERLAGOS;RUA LEONOR ALVIM, 211 - JD LEBLON, SAO PAULO, SP
184;HOSPITAL GERAL DE PEDREIRA;RUA JOAO FRANCISCO DE MOURA, 251 - VILA CAMPO GRANDE, SAO PAULO, SP
185;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;CON XAVIER, 276 - V HELIOPOLIS, SAO PAULO, SP
186;CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP;AVENIDA MIGUEL STEFNO, 3030 - AGUA FUNDA, SAO PAULO, SP
187;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;RUA DR SERAFICO DE ASSIS CARVALHO, 34 - JARDIM GUEDALA, SAO PAULO, SP
188;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;RUA LUCAS DE LEYDE, 257 - VILA ANTONIO, SAO PAULO, SP
189;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;AV PROF LINEU PRESTES, 2565 - BUTANTA, SAO PAULO, SP
190;CAISM PHILIPPE PINEL SAO PAULO;AV RAIMUNDO PEREIRA DE MAGALHAES, 5214 - PIRITUBA, SAO PAULO, SP
191;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;AV FRANCISCO FALCONI, 1501 - VILA ALPINA, SAO PAULO, SP
192;HOSP MUN PIRITUBA JOSE SOARES HUNGRIA;AVENIDA MENOTTI LAUDISIO, 100 - PIRITUBA, SAO PAULO, SP
193;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;RUA ANGELO DE CANDIA, 540 - SAO MATEUS, SAO PAULO, SP
194;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;AVENIDA NAZARE, 28 - IPIRANGA, SAO PAULO, SP
195;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;RUA VOLUNTARIOS DA PATRIA, 4301 - SANTANA, SAO PAULO, SP
196;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;AV MARECHAL TITO, 6035 - ITAIM PAULISTA, SAO PAULO, SP
197;HOSP MUN PROF DR WALDOMIRO DE PAULA;RUA AUGUSTO CARLOS BAUMANN, 1074 - ITAQUERA, SAO PAULO, SP
198;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;RUA FRANCISCO OTAVIO PACCA, 180 - PARQUE DAS NACOES, SAO PAULO, SP
199;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;AV CELSO GARCIA, 2477 - BELENZINHO, SAO PAULO, SP
200;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;RUA SANTA CRUZ, 81 - VILA MARIANA, SAO PAULO, SP
201;HOSPITAL MILITAR DE AREA DE SAO PAULO;RUA OUVIDOR PORTUGAL, 230 - CAMBUCI, SAO PAULO, SP
202;CENTRO DE REFERENCIA DA SAUDE DA MULHER;AV RIO BRANCO, 1080 - CAMPOS ELISEOS, SAO PAULO, SP
203;HOSP MUN INFANTIL MENINO JESUS;RUA DOS INGLESES, 258 - BELA VISTA, SAO PAULO, SP
204;HOSP DA AERONAUTICA DE SPHASP;OLAVO FONTOURA, 1400, SANTANA - SANTANA, SAO PAULO, SP
205;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;DEPUTADO EMILIO CARLOS, 3100 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
206;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;AV MIGUEL ACHIOLE DA FONSECA, 135 - JARDIM SAO PAULO, SAO PAULO, SP
207;HOSP MUN DR CARMINO CARICCHIO;AVENIDA CELSO GARCIA, 4815 - TATUAPE, SAO PAULO, SP
208;HOSP MUN TIDE SETUBAL;RUA DR JOSE GUILHERME EIRAS, 123 - SAO MIGUEL PAULISTA, SAO PAULO, SP
209;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;RUA ALVES MALDONADO, 128 - VILA NHOCUNE, SAO PAULO, SP
210;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;AVENIDA FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860 - JABAQUARA, SAO PAULO, SP
211;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;AV ELISIO TEIXEIRA LEITE, 6999 - PARADA DE TAIPAS, SAO PAULO, SP
212;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;ALAMEDA RODRIGO DE BRUM, 1989 - VILA PARANAGUA, SAO PAULO, SP
213;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;RUA ANTONIO LAZARO, 226 - JARDIM IVA, SAO PAULO, SP
214;HOSP MUN IGNACIO PROENCA DE GOUVEA;JUVENTUS, 562 - PARQUE DA MOOCA, SAO PAULO, SP
215;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;RUA SIQUEIRA BUENO, 1757 - AGUA RASA, SAO PAULO, SP
216;HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI;AV BRIGADEIRO LUIZ ANTONIO, 2651 - JARDIM PAULISTA, SAO PAULO, SP
217;HOSPITAL REGIONAL SUL SAO PAULO;RUA GENERAL ROBERTO ALVES DE CARVALHO FILHO, 270 - SANTO AMARO, SAO PAULO, SP
218;HOSPITAL VITAL BRAZIL SAO PAULO;AV VITAL BRAZIL, 1500 - BUTANTA, SAO PAULO, SP
219;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;RUA MANOEL FRANCA DOS SANTOS, 174 - JARDIM SAPOPEMBA, SAO PAULO, SP
220;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;AV MINISTRO PETRONIO PORTELA, 1642 - JARDIM IRACEMA, SAO PAULO, SP
221;HOSPITAL PSIQUIATRICO DE VILA MARIANA;RUA MAJOR MARAGLIANO, 241, 287 - VILA MARIANA, SAO PAULO, SP
222;HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;AV DEPUTADO EMILIO CARLOS, 3000 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
223;HOSP DO SERV PUB MUNICIPAL HSPM;CASTRO ALVES, 60 - LIBERDADE, SAO PAULO, SP
224;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;ESTRADA DE ITAPECERICA, 1661, VILA MARACANA - CAMPO LIMPO, SAO PAULO, SP
225;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;RUA DOM JOSE MAURICIO, 15 - CARANDIRU, SAO PAULO, SP
226;HOSP MUN VER JOSE STOROPOLLI;RUA FRANCISCO FANGANIELLO, 127 - PARQUE NOVO MUNDO, SAO PAULO, SP
227;CENTRO MEDICO PMESP;AVENIDA NOVA CANTAREIRA, 3659 - TREMEMBE, SAO PAULO, SP
228;HOSP MUN CARMEN PRUDENTE;AVENIDA DOS METALURGICOS, 1797 - CIDADE TIRADENTES, SAO PAULO, SP
229;HOSPITAL LOCAL DE SAPOPEMBA;RUA IAMACARU, 45 - PARQUE SANTA MADALEN, SAO PAULO, SP
230;INSTITUTO DE REABILITACAO LUCY MONTORO;RUA JANDIATUBA, 580 - VILA ANDRADE, SAO PAULO, SP
231;HOSP MUN M BOI MIRIM;ESTRADA DO MBOI MIRIM, 5203 - JARDIM ANGELA, SAO PAULO, SP
232;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;AV DR ARNALDO, 251 - CERQUEIRA CESAR, SAO PAULO, SP
233;HOSP MUN SOROCABANA;AVENIDA QUEIROZ FILHO, 313 - ALTO DE PINHEIROS, SAO PAULO, SP
234;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;AVENIDA SANTA CATARINA, 2785 - VILA MASCOTE, SAO PAULO, SP
235;HOSP MUN CAPELA DO SOCORRO;RUA CASSIO DE CAMPOS NOGUEIRA, 2031 - JARDIM DAS IMBUIAS, SAO PAULO, SP
236;HOSP MUN JOSANIAS CASTANHA BRAGA;RUA EUZEBIO COGHI, 841 - JARDIM ROSCHEL, SAO PAULO, SP
237;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;RUA ANTONIO CARLOS, 122 - CONSOLACAO, SAO PAULO, SP
238;HOSPITAL MUNICIPAL BRASILANDIA;MICHIHISA MURATA, 150 - JARDIM MARISTELA, SAO PAULO, SP
239;HOSPITAL MUNICIPAL GUARAPIRANGA;ESTRADA DA RIVIERA, 4742, ZONA SUL - RIVIERA PAULISTA, SAO PAULO, SP
240;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;DR ARNALDO, 165 - SUMARE, SAO PAULO, SP
241;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;AVENIDA IBIRAPUERA, 981 - IBIRAPUERA, SAO PAULO, SP
242;HOSPITAL MATERNIDADE INTERLAGOS;RUA LEONOR ALVIM, 211 - JD LEBLON, SAO PAULO, SP
243;HOSPITAL GERAL DE PEDREIRA;RUA JOAO FRANCISCO DE MOURA, 251 - VILA CAMPO GRANDE, SAO PAULO, SP
244;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;CON XAVIER, 276 - V HELIOPOLIS, SAO PAULO, SP
245;CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP;AVENIDA MIGUEL STEFNO, 3030 - AGUA FUNDA, SAO PAULO, SP
246;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;RUA DR SERAFICO DE ASSIS CARVALHO, 34 - JARDIM GUEDALA, SAO PAULO, SP
247;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;RUA LUCAS DE LEYDE, 257 - VILA ANTONIO, SAO PAULO, SP
248;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;AV PROF LINEU PRESTES, 2565 - BUTANTA, SAO PAULO, SP
249;CAISM PHILIPPE PINEL SAO PAULO;AV RAIMUNDO PEREIRA DE MAGALHAES, 5214 - PIRITUBA, SAO PAULO, SP
250;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;AV FRANCISCO FALCONI, 1501 - VILA ALPINA, SAO PAULO, SP
251;HOSP MUN PIRITUBA JOSE SOARES HUNGRIA;AVENIDA MENOTTI LAUDISIO, 100 - PIRITUBA, SAO PAULO, SP
252;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;RUA ANGELO DE CANDIA, 540 - SAO MATEUS, SAO PAULO, SP
253;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;AVENIDA NAZARE, 28 - IPIRANGA, SAO PAULO, SP
254;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;RUA VOLUNTARIOS DA PATRIA, 4301 - SANTANA, SAO PAULO, SP
255;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;AV MARECHAL TITO, 6035 - ITAIM PAULISTA, SAO PAULO, SP
256;HOSP MUN PROF DR WALDOMIRO DE PAULA;RUA AUGUSTO CARLOS BAUMANN, 1074 - ITAQUERA, SAO PAULO, SP
257;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;RUA FRANCISCO OTAVIO PACCA, 180 - PARQUE DAS NACOES, SAO PAULO, SP
258;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;AV CELSO GARCIA, 2477 - BELENZINHO, SAO PAULO, SP
259;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;RUA SANTA CRUZ, 81 - VILA MARIANA, SAO PAULO, SP
260;HOSPITAL MILITAR DE AREA DE SAO PAULO;RUA OUVIDOR PORTUGAL, 230 - CAMBUCI, SAO PAULO, SP
261;CENTRO DE REFERENCIA DA SAUDE DA MULHER;AV RIO BRANCO, 1080 - CAMPOS ELISEOS, SAO PAULO, SP
262;HOSP MUN INFANTIL MENINO JESUS;RUA DOS INGLESES, 258 - BELA VISTA, SAO PAULO, SP
263;HOSP DA AERONAUTICA DE SPHASP;OLAVO FONTOURA, 1400, SANTANA - SANTANA, SAO PAULO, SP
264;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;DEPUTADO EMILIO CARLOS, 3100 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
265;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;AV MIGUEL ACHIOLE DA FONSECA, 135 - JARDIM SAO PAULO, SAO PAULO, SP
266;HOSP MUN DR CARMINO CARICCHIO;AV CELSO GARCIA, 4815 - TATUAPE, SAO PAULO, SP
267;HOSP MUN TIDE SETUBAL;RUA DR JOSE GUILHERME EIRAS, 123 - SAO MIGUEL PAULISTA, SAO PAULO, SP
268;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;RUA ALVES MALDONADO, 128 - VILA NHOCUNE, SAO PAULO, SP
269;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;AVENIDA FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860 - JABAQUARA, SAO PAULO, SP
270;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;AV ELISIO TEIXEIRA LEITE, 6999 - PARADA DE TAIPAS, SAO PAULO, SP
271;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;ALAMEDA RODRIGO DE BRUM, 1989 - VILA PARANAGUA, SAO PAULO, SP
272;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;RUA ANTONIO LAZARO, 226 - JARDIM IVA, SAO PAULO, SP
273;HOSP MUN IGNACIO PROENCA DE GOUVEA;JUVENTUS, 562 - PARQUE DA MOOCA, SAO PAULO, SP
274;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;RUA SIQUEIRA BUENO, 1757 - AGUA RASA, SAO PAULO, SP
275;HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI;AV BRIGADEIRO LUIZ ANTONIO, 2651 - JARDIM PAULISTA, SAO PAULO, SP
276;HOSPITAL REGIONAL SUL SAO PAULO;RUA GENERAL ROBERTO ALVES DE CARVALHO FILHO, 270 - SANTO AMARO, SAO PAULO, SP
277;HOSPITAL VITAL BRAZIL SAO PAULO;AV VITAL BRAZIL, 1500 - BUTANTA, SAO PAULO, SP
278;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;RUA MANOEL FRANCA DOS SANTOS, 174 - JARDIM SAPOPEMBA, SAO PAULO, SP
279;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;AV MINISTRO PETRONIO PORTELA, 1642 - JARDIM IRACEMA, SAO PAULO, SP
280;HOSPITAL PSIQUIATRICO DE VILA MARIANA;RUA MAJOR MARAGLIANO, 241, 287 - VILA MARIANA, SAO PAULO, SP
281;HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;AV DEPUTADO EMILIO CARLOS, 3000 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
282;HOSP DO SERV PUB MUNICIPAL HSPM;CASTRO ALVES, 60 - LIBERDADE, SAO PAULO, SP
283;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;ESTRADA DE ITAPECERICA, 1661, VILA MARACANA - CAMPO LIMPO, SAO PAULO, SP
284;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;RUA DOM JOSE MAURICIO, 15 - CARANDIRU, SAO PAULO, SP
285;HOSP MUN VER JOSE STOROPOLLI;RUA FRANCISCO FANGANIELLO, 127 - PARQUE NOVO MUNDO, SAO PAULO, SP
286;CENTRO MEDICO PMESP;AVENIDA NOVA CANTAREIRA, 3659 - TREMEMBE, SAO PAULO, SP
287;HOSP MUN CARMEN PRUDENTE;AVENIDA DOS METALURGICOS, 1797 - CIDADE TIRADENTES, SAO PAULO, SP
288;HOSPITAL LOCAL DE SAPOPEMBA;RUA IAMACARU, 45 - PARQUE SANTA MADALEN, SAO PAULO, SP
289;INSTITUTO DE REABILITACAO LUCY MONTORO;RUA JANDIATUBA, 580 - VILA ANDRADE, SAO PAULO, SP
290;HOSP MUN M BOI MIRIM;ESTRADA DO MBOI MIRIM, 5203 - JARDIM ANGELA, SAO PAULO, SP
291;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;AV DR ARNALDO, 251 - CERQUEIRA CESAR, SAO PAULO, SP
292;HOSP MUN SOROCABANA;AVENIDA QUEIROZ FILHO, 313 - ALTO DE PINHEIROS, SAO PAULO, SP
293;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;AVENIDA SANTA CATARINA, 2785 - VILA MASCOTE, SAO PAULO, SP
294;HOSP MUN CAPELA DO SOCORRO;RUA CASSIO DE CAMPOS NOGUEIRA, 2031 - JARDIM DAS IMBUIAS, SAO PAULO, SP
295;HOSP MUN JOSANIAS CASTANHA BRAGA;RUA EUZEBIO COGHI, 841 - JARDIM ROSCHEL, SAO PAULO, SP
296;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;RUA ANTONIO CARLOS, 122 - CONSOLACAO, SAO PAULO, SP
297;HOSPITAL MUNICIPAL BRASILANDIA;MICHIHISA MURATA, 150 - JARDIM MARISTELA, SAO PAULO, SP
298;HOSPITAL MUNICIPAL GUARAPIRANGA;ESTRADA DA RIVIERA, 4742, ZONA SUL - RIVIERA PAULISTA, SAO PAULO, SP
299;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;DR ARNALDO, 165 - SUMARE, SAO PAULO, SP
300;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;AVENIDA IBIRAPUERA, 981 - IBIRAPUERA, SAO PAULO, SP
301;HOSPITAL MATERNIDADE INTERLAGOS;RUA LEONOR ALVIM, 211 - JD LEBLON, SAO PAULO, SP
302;HOSPITAL GERAL DE PEDREIRA;RUA JOAO FRANCISCO DE MOURA, 251 - VILA CAMPO GRANDE, SAO PAULO, SP
303;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;CON XAVIER, 276 - V HELIOPOLIS, SAO PAULO, SP
304;CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP;AVENIDA MIGUEL STEFNO, 3030 - AGUA FUNDA, SAO PAULO, SP
305;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;RUA DR SERAFICO DE ASSIS CARVALHO, 34 - JARDIM GUEDALA, SAO PAULO, SP
306;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;RUA LUCAS DE LEYDE, 257 - VILA ANTONIO, SAO PAULO, SP
307;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;AV PROF LINEU PRESTES, 2565 - BUTANTA, SAO PAULO, SP
308;CAISM PHILIPPE PINEL SAO PAULO;AV RAIMUNDO PEREIRA DE MAGALHAES, 5214 - PIRITUBA, SAO PAULO, SP
309;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;AV FRANCISCO FALCONI, 1501 - VILA ALPINA, SAO PAULO, SP
310;HOSP MUN PIRITUBA JOSE SOARES HUNGRIA;AVENIDA MENOTTI LAUDISIO, 100 - PIRITUBA, SAO PAULO, SP
311;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;RUA ANGELO DE CANDIA, 540 - SAO MATEUS, SAO PAULO, SP
312;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;AVENIDA NAZARE, 28 - IPIRANGA, SAO PAULO, SP
313;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;RUA VOLUNTARIOS DA PATRIA, 4301 - SANTANA, SAO PAULO, SP
314;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;AV MARECHAL TITO, 6035 - ITAIM PAULISTA, SAO PAULO, SP
315;HOSP MUN PROF DR WALDOMIRO DE PAULA;RUA AUGUSTO CARLOS BAUMANN, 1074 - ITAQUERA, SAO PAULO, SP
