categoria;marca;modelo;versao;motor;propulsao;transmissao;ar_condicionado;combustivel;consumo_cidade;consumo_estrada;consumo_cidade_2;consumo_estrada_2;consumo_eletrico_cidade;consumo_eletrico_estrada;consumo_vehp_flex_cidade;consumo_vehp_flex_estrada;consumo_energetico_mj_km;autonomia_eletrica_km;classificacao_pbe;classificacao_geral;selo_conpet
Médio;CHEVROLET;ONIX;RS;1.0T - 12V;Combustão;A-6;S;F;8,2;10,1;11,8;14,5;;;;;1,68;;C;C;-
Médio;CHEVROLET;ONIX;MT;1.0T - 12V;Combustão;M-6;S;F;9,8;12,4;13,7;17,7;;;;;1,38;;A;B;SIM
Médio;CHEVROLET;ONIX;LT;1.0T - 12V;Combustão;A-6;S;F;8,6;10,9;12,1;15,3;;;;;1,59;;C;C;-
Médio;CHEVROLET;ONIX;MT;1.0 - 12 V;Combustão;M-6;S;F;9,5;11,3;13,5;16,3;;;;;1,45;;B;B;-
Médio;CHEVROLET;ONIX;AT;1.0T - 12V;Combustão;A-6;S;F;8,6;10,9;12,1;15,3;;;;;1,59;;C;C;-
Médio;CHEVROLET;ONIX;10TAT HB ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11;;;;;;;1,55;;C;C;-
Médio;CHEVROLET;ONIX;10TAT LT1 ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11;;;;;;;1,55;;C;C;-
Médio;CHEVROLET;ONIX;10TAT LTZ ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11;;;;;;;1,55;;C;C;-
Médio;CHEVROLET;ONIX;10TAT PR2 ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11;;;;;;;1,55;;C;C;-
Médio;CHEVROLET;ONIX PLUS;LTZ;1.0T - 12V;Combustão;A-6;S;F;8,5;11,2;12,2;16;;;;;1,57;;C;C;-
Médio;CHEVROLET;ONIX PLUS;PREMIER;1.0T - 12V;Combustão;A-6;S;F;8,5;11,2;12,2;16;;;;;1,57;;C;C;-
Médio;CHEVROLET;ONIX PLUS;MT;1.0T - 12V;Combustão;M-6;S;F;9,2;12,3;13,3;16,8;;;;;1,44;;B;B;-
Médio;CHEVROLET;ONIX PLUS;LT;1.0T - 12V;Combustão;A-6;S;F;8,5;11,2;12,2;16;;;;;1,57;;C;C;-
Médio;CHEVROLET;ONIX PLUS;MT;1.0 - 12 V;Combustão;M-6;S;F;9,8;12,1;13,9;17,1;;;;;1,39;;A;B;SIM
Médio;CHEVROLET;ONIX PLUS;AT;1.0T - 12V;Combustão;A-6;S;F;8,5;11,2;12,2;16;;;;;1,57;;C;C;-
