origin_id;origin_hospital;origin_bairro;destination_id;destination_hospital;destination_bairro;distance_meters;distance_km;duration_seconds;duration_minutes;status;error_message
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;34;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;PARADA DE TAIPAS;18620;18.62;1774;29.58;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;35;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;VILA PARANAGUA;24690;24.69;2193;36.55;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;36;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;JARDIM IVA;17690;17.69;1907;31.79;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;37;HOSP MUN IGNACIO PROENCA DE GOUVEA;PARQUE DA MOOCA;9620;9.62;1072;17.88;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;38;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;AGUA RASA;8850;8.85;1027;17.13;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;40;HOSPITAL REGIONAL SUL SAO PAULO;SANTO AMARO;16780;16.78;1449;24.15;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;42;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;JARDIM SAPOPEMBA;21900;21.9;2198;36.64;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;43;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;JARDIM IRACEMA;12660;12.66;1246;20.78;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;46;HOSP DO SERV PUB MUNICIPAL HSPM;LIBERDADE;4540;4.54;569;9.5;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;47;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;CAMPO LIMPO;15900;15.9;1313;21.89;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;48;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;CARANDIRU;8740;8.74;1031;17.18;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;49;HOSP MUN VER JOSE STOROPOLLI;PARQUE NOVO MUNDO;16410;16.41;1402;23.37;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;50;CENTRO MEDICO PMESP;TREMEMBE;13790;13.79;1594;26.58;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;51;HOSP MUN CARMEN PRUDENTE;CIDADE TIRADENTES;35140;35.14;3035;50.6;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;53;INSTITUTO DE REABILITACAO LUCY MONTORO;VILA ANDRADE;13720;13.72;1178;19.64;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;55;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;CERQUEIRA CESAR;2860;2.86;334;5.57;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;56;HOSP MUN SOROCABANA;VILA ROMANA;8109;8.11;875;14.58;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;57;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;VILA MASCOTE;13310;13.31;1343;22.4;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;58;HOSP MUN CAPELA DO SOCORRO;JARDIM DAS IMBUIAS;25660;25.66;2322;38.7;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;59;HOSP MUN JOSANIAS CASTANHA BRAGA;JARDIM ROSCHEL;38730;38.73;3191;53.2;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;233;HOSP MUN SOROCABANA;ALTO DE PINHEIROS;9240;9.24;1009;16.82;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;14180;14.18;1515;25.25;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;0;0.0;0;0.0;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;35680;35.68;2425;40.43;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;4;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;SUMARE;10870;10.87;1097;18.29;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;5;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;IBIRAPUERA;17980;17.98;1826;30.45;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;6;HOSPITAL MATERNIDADE INTERLAGOS;JD LEBLON;36980;36.98;2561;42.68;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;7;HOSPITAL GERAL DE PEDREIRA;VILA CAMPO GRANDE;35970;35.97;2521;42.02;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;8;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;V HELIOPOLIS;23220;23.22;2104;35.07;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;10;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;JARDIM GUEDALA;22660;22.66;1649;27.49;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;11;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;VILA ANTONIO;18980;18.98;1562;26.03;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;12;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;BUTANTA;17050;17.05;1462;24.37;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;13;CAISM PHILIPPE PINEL SAO PAULO;PIRITUBA;5530;5.53;562;9.38;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;14;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;VILA ALPINA;24710;24.71;1881;31.36;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;16;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;SAO MATEUS;31100;31.1;2316;38.6;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;17;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;IPIRANGA;19990;19.99;1831;30.52;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;18;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;SANTANA;10620;10.62;1183;19.72;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;19;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;ITAIM PAULISTA;43720;43.72;2598;43.31;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;20;HOSP MUN PROF DR WALDOMIRO DE PAULA;ITAQUERA;40960;40.96;2541;42.36;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;21;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;PARQUE DAS NACOES;35240;35.24;2906;48.44;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;22;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;BELENZINHO;17740;17.74;1286;21.44;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;23;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;VILA MARIANA;19400;19.4;1957;32.62;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;24;HOSPITAL MILITAR DE AREA DE SAO PAULO;CAMBUCI;18590;18.59;1702;28.38;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;25;CENTRO DE REFERENCIA DA SAUDE DA MULHER;CAMPOS ELISEOS;12190;12.19;1178;19.64;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;26;HOSP MUN INFANTIL MENINO JESUS;BELA VISTA;14310;14.31;1575;26.26;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;28;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;VILA NOVA CACHOEIRIN;4820;4.82;640;10.68;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;29;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;JARDIM SAO PAULO;48900;48.9;3119;52.0;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;30;HOSP MUN DR CARMINO CARICCHIO;TATUAPE;18920;18.92;1478;24.64;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;31;HOSP MUN TIDE SETUBAL;SAO MIGUEL PAULISTA;37130;37.13;2284;38.08;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;32;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;VILA NHOCUNE;28110;28.11;2125;35.43;ok;
